FULL NAME,TEAM
Tyler Cook,Den
Robert Covington,Min
Robert Covington,Hou
Allen Crabbe,Atl
Allen Crabbe,Min
Torrey Craig,Den
Jamal Crawford,Bro
Jae Crowder,Mem
Jae Crowder,Mia
Jarrett Culver,Min
Seth Curry,Dal
Stephen Curry,Gol
Troy Daniels,Lal
Troy Daniels,Den
Anthony Davis,Lal
Ed Davis,Uta
Terence Davis,Tor
Dewayne Dedmon,Sac
Dewayne Dedmon,Atl
Matthew Dellavedova,Cle
DeMar DeRozan,San
Cheick Diallo,Pho
Hamidou Diallo,Okc
Gorgui Dieng,Min
Gorgui Dieng,Mem
Spencer Dinwiddie,Bro
Donte DiVincenzo,Mil
Luka Doncic,Dal
Luguentz Dort,Okc
Damyean Dotson,Nyk
Sekou Doumbouya,Det
PJ Dozier,Den
Goran Dragic,Mia
Andre Drummond,Det
Andre Drummond,Cle
Jared Dudley,Lal
Kris Dunn,Chi
Carsen Edwards,Bos
Henry Ellenson,Bro
Wayne Ellington,Nyk
Joel Embiid,Phi
James Ennis III,Phi
James Ennis III,Orl
Drew Eubanks,San
Jacob Evans,Gol
Jacob Evans,Min
Dante Exum,Uta
Dante Exum,Cle
Tacko Fall,Bos
Derrick Favors,Nor
Cristiano Felicio,Chi
Terrance Ferguson,Okc
Bruno Fernando,Atl
Yogi Ferrell,Sac
Dorian Finney-Smith,Dal
Bryn Forbes,San
Evan Fournier,Orl
De'Aaron Fox,Sac
Melvin Frazier Jr.,Orl
Michael Frazier,Hou
Tim Frazier,Det
Markelle Fultz,Orl
Wenyen Gabriel,Sac
Wenyen Gabriel,Por
Daniel Gafford,Chi
Danilo Gallinari,Okc
Langston Galloway,Det
Darius Garland,Cle
Marc Gasol,Tor
Rudy Gay,San
Paul George,Lac
Taj Gibson,Nyk
Harry Giles III,Sac
Shai Gilgeous-Alexander,Okc
Rudy Gobert,Uta
Brandon Goodwin,Atl
Aaron Gordon,Orl
Eric Gordon,Hou
Devonte' Graham,Cha
Treveon Graham,Min
Treveon Graham,Atl
Jerami Grant,Den
Jerian Grant,Was
Josh Gray,Nor
Danny Green,Lal
Draymond Green,Gol
JaMychal Green,Lac
Javonte Green,Bos
Jeff Green,Uta
Jeff Green,Hou
Blake Griffin,Det
Marko Guduric,Mem
Kyle Guy,Sac
Rui Hachimura,Was
Devon Hall,Okc
Donta Hall,Det
Donta Hall,Bro
Dusty Hannahs,Mem
Tim Hardaway Jr.,Dal
James Harden,Hou
Maurice Harkless,Lac
Maurice Harkless,Nyk
Jared Harper,Pho
Montrezl Harrell,Lac
Gary Harris,Den
Joe Harris,Bro
Shaquille Harrison,Chi
Tobias Harris,Phi
Isaiah Hartenstein,Hou
Josh Hart,Nor
Udonis Haslem,Mia
Jaxson Hayes,Nor
Gordon Hayward,Bos
John Henson,Cle
John Henson,Det
Dewan Hernandez,Tor
Juancho Hernangomez,Den
Juancho Hernangomez,Min
Willy Hernangomez,Cha
Tyler Herro,Mia
Kevin Hervey,Okc
Mario Hezonja,Por
Buddy Hield,Sac
George Hill,Mil
Solomon Hill,Mem
Solomon Hill,Mia
Jaylen Hoard,Por
Aaron Holiday,Ind
Jrue Holiday,Nor
Justin Holiday,Ind
Rondae Hollis-Jefferson,Tor
Richaun Holmes,Sac
Rodney Hood,Por
Al Horford,Phi
Talen Horton-Tucker,Lal
Danuel House Jr.,Hou
Dwight Howard,Lal
William Howard,Hou
Kevin Huerter,Atl
De'Andre Hunter,Atl
Chandler Hutchison,Chi
Serge Ibaka,Tor
Andre Iguodala,Mia
Ersan Ilyasova,Mil
Joe Ingles,Uta
Brandon Ingram,Nor
Kyrie Irving,Bro
Jonathan Isaac,Orl
Wes Iwundu,Orl
Jaren Jackson Jr.,Mem
Frank Jackson,Nor
Josh Jackson,Mem
Justin Jackson,Dal
Reggie Jackson,Det
Reggie Jackson,Lac
Justin James,Sac
LeBron James,Lal
Amile Jefferson,Orl
DaQuan Jeffries,Sac
Ty Jerome,Pho
Alize Johnson,Ind
BJ Johnson,Orl
Cameron Johnson,Pho
James Johnson,Mia
James Johnson,Min
Keldon Johnson,San
Stanley Johnson,Tor
Tyler Johnson,Pho
Tyler Johnson,Bro
Nikola Jokic,Den
Derrick Jones Jr.,Mia
Damian Jones,Atl
Tyus Jones,Mem
DeAndre Jordan,Bro
Cory Joseph,Sac
Mfiondu Kabengele,Lac
Frank Kaminsky,Pho
Enes Kanter,Bos
Luke Kennard,Det
Michael Kidd-Gilchrist,Cha
Michael Kidd-Gilchrist,Dal
Stanton Kidd,Uta
Louis King,Det
Maxi Kleber,Dal
Brandon Knight,Cle
Brandon Knight,Det
Kevin Knox II,Nyk
John Konchar,Mem
Furkan Korkmaz,Phi
Luke Kornet,Chi
Kyle Korver,Mil
Rodions Kurucs,Bro
Kyle Kuzma,Lal
Skal Labissiere,Por
Jeremy Lamb,Ind
Romeo Langford,Bos
Zach LaVine,Chi
Vic Law,Orl
Jake Layman,Min
TJ Leaf,Ind
Jalen Lecque,Pho
Courtney Lee,Dal
Damion Lee,Gol
Alex Len,Atl
Alex Len,Sac
Kawhi Leonard,Lac
Meyers Leonard,Mia
Caris LeVert,Bro
Damian Lillard,Por
Nassir Little,Por
Kevon Looney,Gol
Brook Lopez,Mil
Robin Lopez,Mil
Kevin Love,Cle
Kyle Lowry,Tor
Timothe Luwawu-Cabarrot,Bro
Trey Lyles,San
Daryl Macon,Mia
J.P. Macura,Cle
Josh Magette,Orl
Ian Mahinmi,Was
Thon Maker,Det
Terance Mann,Lac
Boban Marjanovic,Dal
Lauri Markkanen,Chi
Caleb Martin,Cha
Cody Martin,Cha
Jeremiah Martin,Bro
Kelan Martin,Min
Frank Mason,Mil
Garrison Mathews,Was
Wesley Matthews,Mil
Luc Mbah a Moute,Hou
Patrick McCaw,Tor
CJ McCollum,Por
T.J. McConnell,Ind
Jalen McDaniels,Cha
Doug McDermott,Ind
JaVale McGee,Lal
Rodney McGruder,Lac
Alfonzo McKinnie,Cle
Jordan McLaughlin,Min
Ben McLemore,Hou
Jordan McRae,Was
Jordan McRae,Den
Jordan McRae,Det
Nicolo Melli,Nor
De'Anthony Melton,Mem
Chimezie Metu,San
Khris Middleton,Mil
Eric Mika,Sac
CJ Miles,Was
Malcolm Miller,Tor
Paul Millsap,Den
Patty Mills,San
Shake Milton,Phi
Donovan Mitchell,Uta
Naz Mitrou-Long,Ind
Adam Mokoka,Chi
Malik Monk,Cha
Matt Mooney,Cle
E'Twaun Moore,Nor
Ja Morant,Mem
Juwan Morgan,Uta
Marcus Morris Sr.,Nyk
Marcus Morris Sr.,Lac
Markieff Morris,Det
Markieff Morris,Lal
Monte Morris,Den
Johnathan Motley,Lac
Emmanuel Mudiay,Uta
Mychal Mulder,Gol
Dejounte Murray,San
Jamal Murray,Den
Dzanan Musa,Bro
Mike Muscala,Okc
Svi Mykhailiuk,Det
Abdel Nader,Okc
Larry Nance Jr.,Cle
Shabazz Napier,Min
Shabazz Napier,Was
Raul Neto,Phi
Malik Newman,Cle
Georges Niang,Uta
Joakim Noah,Lac
Nerlens Noel,Okc
Zach Norvell Jr.,Lal
Zach Norvell Jr.,Gol
Jaylen Nowell,Min
Frank Ntilikina,Nyk
Kendrick Nunn,Mia
Jusuf Nurkic,Por
David Nwaba,Bro
Semi Ojeleye,Bos
Jahlil Okafor,Nor
Elie Okobo,Pho
Josh Okogie,Min
KZ Okpala,Mia
Victor Oladipo,Ind
Kelly Olynyk,Mia
Royce O'Neale,Uta
Miye Oni,Uta
Kyle O'Quinn,Phi
Cedi Osman,Cle
Kelly Oubre Jr.,Pho
Tariq Owens,Pho
Jeremy Pargo,Gol
Jabari Parker,Atl
Jabari Parker,Sac
Chandler Parsons,Atl
Eric Paschall,Gol
Anzejs Pasecniks,Was
Patrick Patterson,Lac
Justin Patton,Okc
Chris Paul,Okc
Cameron Payne,Pho
Gary Payton II,Was
Elfrid Payton,Nyk
Norvel Pelle,Phi
Theo Pinson,Bro
Mason Plumlee,Den
Jakob Poeltl,San
Vincent Poirier,Bos
Shamorie Ponds,Tor
Jordan Poole,Gol
Kevin Porter Jr.,Cle
Michael Porter Jr.,Den
Otto Porter Jr.,Chi
Bobby Portis,Nyk
Kristaps Porzingis,Dal
Dwight Powell,Dal
Norman Powell,Tor
Taurean Prince,Bro
Chasson Randle,Gol
Julius Randle,Nyk
Josh Reaves,Dal
Cam Reddish,Atl
JJ Redick,Nor
Naz Reid,Min
Josh Richardson,Phi
Austin Rivers,Hou
Andre Roberson,Okc
Glenn Robinson III,Gol
Glenn Robinson III,Phi
Duncan Robinson,Mia
Jerome Robinson,Lac
Jerome Robinson,Was
Justin Robinson,Was
Mitchell Robinson,Nyk
Isaiah Roby,Okc
Rajon Rondo,Lal
Derrick Rose,Det
Terrence Ross,Orl
Terry Rozier,Cha
Ricky Rubio,Pho
D'Angelo Russell,Gol
D'Angelo Russell,Min
Domantas Sabonis,Ind
Luka Samanic,San
JaKarr Sampson,Ind
Dario Saric,Pho
Tomas Satoransky,Chi
Admiral Schofield,Was
Dennis Schroder,Okc
Mike Scott,Phi
Thabo Sefolosha,Hou
Collin Sexton,Cle
Landry Shamet,Lac
Marial Shayok,Phi
Iman Shumpert,Bro
Pascal Siakam,Tor
Chris Silva,Mia
Ben Simmons,Phi
Anfernee Simons,Por
Alen Smailagic,Gol
Marcus Smart,Bos
Dennis Smith Jr.,Nyk
Ish Smith,Was
JR Smith,Lal
Zhaire Smith,Phi
Tony Snell,Det
Omari Spellman,Gol
Max Strus,Chi
Edmond Sumner,Ind
Caleb Swanigan,Sac
Caleb Swanigan,Por
Jayson Tatum,Bos
Jeff Teague,Min
Jeff Teague,Atl
Garrett Temple,Bro
Daniel Theis,Bos
Isaiah Thomas,Was
Khyri Thomas,Det
Lance Thomas,Bro
Matt Thomas,Tor
Tristan Thompson,Cle
Sindarius Thornwell,Nor
Matisse Thybulle,Phi
Anthony Tolliver,Por
Anthony Tolliver,Sac
Anthony Tolliver,Mem
Juan Toscano-Anderson,Gol
Karl-Anthony Towns,Min
Gary Trent Jr.,Por
Allonzo Trier,Nyk
P.J. Tucker,Hou
Rayjon Tucker,Uta
Evan Turner,Atl
Myles Turner,Ind
Jarrod Uthoff,Mem
Jarrod Uthoff,Was
Jonas Valanciunas,Mem
Denzel Valentine,Chi
Jarred Vanderbilt,Den
Jarred Vanderbilt,Min
Fred VanVleet,Tor
Gabe Vincent,Mia
Noah Vonleh,Min
Noah Vonleh,Den
Nikola Vucevic,Orl
Dean Wade,Cle
Moritz Wagner,Was
Dion Waiters,Mia
Dion Waiters,Lal
Lonnie Walker IV,San
Kemba Walker,Bos
Tyrone Wallace,Atl
Derrick Walton Jr.,Lac
Derrick Walton Jr.,Det
Brad Wanamaker,Bos
T.J. Warren,Ind
P.J. Washington,Cha
Yuta Watanabe,Mem
Tremont Waters,Bos
Paul Watson,Atl
Paul Watson,Tor
Quinndary Weatherspoon,San
Russell Westbrook,Hou
Coby White,Chi
Derrick White,San
Hassan Whiteside,Por
Andrew Wiggins,Min
Andrew Wiggins,Gol
Robert Williams III,Bos
Nigel Williams-Goss,Uta
Grant Williams,Bos
Johnathan Williams,Was
Kenrich Williams,Nor
Lou Williams,Lac
Marvin Williams,Cha
Marvin Williams,Mil
Zion Williamson,Nor
D.J. Wilson,Mil
Justise Winslow,Mia
Christian Wood,Det
Delon Wright,Dal
Justin Wright-Foreman,Uta
Thaddeus Young,Chi
Trae Young,Atl
Cody Zeller,Cha
Tyler Zeller,San
Ante Zizic,Cle
Ivica Zubac,Lac
