FULL NAME,TEAM
Klay Thompson,Gol
Kobi Simmons,Mem
Kosta Koufos,Sac
Kris Dunn,Chi
Kristaps Porzingis,Nyk
Kyle Anderson,San
Kyle Collinsworth,Dal
Kyle Korver,Cle
Kyle Kuzma,Lal
Kyle Lowry,Tor
Kyle O'Quinn,Nyk
Kyle Singler,Okc
Kyrie Irving,Bos
LaMarcus Aldridge,San
Lance Stephenson,Ind
Lance Thomas,Nyk
Langston Galloway,Det
Larry Drew II,Phi
Larry Drew II,Nor
Larry Nance Jr.,Lal
Larry Nance Jr.,Cle
Lauri Markkanen,Chi
LeBron James,Cle
London Perrantes,Cle
Lonzo Ball,Lal
Lorenzo Brown,Tor
Lou Williams,Lac
Luc Mbah a Moute,Hou
Lucas Nogueira,Tor
Luis Montero,Det
Luke Babbitt,Atl
Luke Babbitt,Mia
Luke Kennard,Det
Luke Kornet,Nyk
Luol Deng,Lal
Malachi Richardson,Sac
Malachi Richardson,Tor
Malcolm Brogdon,Mil
Malcolm Delaney,Atl
Malcolm Miller,Tor
Malik Beasley,Den
Malik Monk,Cha
Mangok Mathiang,Cha
Manu Ginobili,San
Marc Gasol,Mem
Marcin Gortat,Was
Marco Belinelli,Atl
Marco Belinelli,Phi
Marcus Georges-Hunt,Min
Marcus Morris,Bos
Marcus Paige,Cha
Marcus Smart,Bos
Mario Chalmers,Mem
Mario Hezonja,Orl
Markel Brown,Hou
Markelle Fultz,Phi
Markieff Morris,Was
Marquese Chriss,Pho
Marquis Teague,Mem
Marreese Speights,Orl
Marshall Plumlee,Mil
MarShon Brooks,Mem
Marvin Williams,Cha
Mason Plumlee,Den
Matt Costello,San
Matt Williams Jr.,Mia
Matthew Dellavedova,Mil
Maurice Harkless,Por
Maxi Kleber,Dal
Meyers Leonard,Por
Michael Beasley,Nyk
Michael Carter-Williams,Cha
Michael Kidd-Gilchrist,Cha
Mike Conley,Mem
Mike James,Pho
Mike James,Nor
Mike Muscala,Atl
Mike Scott,Was
Miles Plumlee,Atl
Milos Teodosic,Lac
Milton Doyle,Bro
Mindaugas Kuzminskas,Nyk
Mirza Teletovic,Mil
Monte Morris,Den
Montrezl Harrell,Lac
Myke Henry,Mem
Myles Turner,Ind
Nate Wolters,Uta
Naz Mitrou-Long,Uta
Nemanja Bjelica,Min
Nene,Hou
Nerlens Noel,Dal
Nick Collison,Okc
Nick Young,Gol
Nicolas Batum,Cha
Nicolas Brussino,Atl
Nigel Hayes,Lal
Nigel Hayes,Tor
Nigel Hayes,Sac
Nik Stauskas,Phi
Nik Stauskas,Bro
Nikola Jokic,Den
Nikola Mirotic,Chi
Nikola Mirotic,Nor
Nikola Vucevic,Orl
Noah Vonleh,Por
Noah Vonleh,Chi
Norman Powell,Tor
OG Anunoby,Tor
Okaro White,Mia
Omari Johnson,Mem
Omer Asik,Nor
Omer Asik,Chi
Omri Casspi,Gol
Otto Porter Jr.,Was
Pascal Siakam,Tor
Pat Connaughton,Por
Patrick Beverley,Lac
Patrick McCaw,Gol
Patrick Patterson,Okc
Patty Mills,San
Pau Gasol,San
Paul George,Okc
Paul Millsap,Den
Paul Zipser,Chi
PJ Dozier,Okc
PJ Tucker,Hou
Quincy Acy,Bro
Quincy Pondexter,Chi
Quinn Cook,Gol
Rajon Rondo,Nor
Ramon Sessions,Nyk
Ramon Sessions,Was
Rashad Vaughn,Mil
Rashad Vaughn,Bro
Rashad Vaughn,Orl
Raul Neto,Uta
Raymond Felton,Okc
Reggie Bullock,Det
Reggie Hearn,Det
Reggie Jackson,Det
Richard Jefferson,Den
Richaun Holmes,Phi
Ricky Rubio,Uta
RJ Hunter,Hou
Robert Covington,Phi
Robin Lopez,Chi
Rodney Hood,Uta
Rodney Hood,Cle
Rodney McGruder,Mia
Rodney Purvis,Orl
Ron Baker,Nyk
Rondae Hollis-Jefferson,Bro
Royce O'Neale,Uta
Rudy Gay,San
Rudy Gobert,Uta
Russell Westbrook,Okc
Ryan Anderson,Hou
Ryan Arcidiacono,Chi
Salah Mejri,Dal
Sam Dekker,Lac
Scotty Hopson,Dal
Sean Kilpatrick,Bro
Sean Kilpatrick,Mil
Sean Kilpatrick,Lac
Sean Kilpatrick,Chi
Semi Ojeleye,Bos
Serge Ibaka,Tor
Shabazz Muhammad,Min
Shabazz Muhammad,Mil
Shabazz Napier,Por
Shane Larkin,Bos
Shaquille Harrison,Pho
Shaun Livingston,Gol
Shelvin Mack,Orl
Sindarius Thornwell,Lac
Skal Labissiere,Sac
Solomon Hill,Nor
Spencer Dinwiddie,Bro
Stanley Johnson,Det
Stephen Curry,Gol
Sterling Brown,Mil
Steven Adams,Okc
T.J. McConnell,Phi
Taj Gibson,Min
Tarik Black,Hou
Taurean Prince,Atl
Terrance Ferguson,Okc
Terrence Ross,Orl
Terry Rozier,Bos
Thabo Sefolosha,Uta
Thaddeus Young,Ind
Thomas Bryant,Lal
Thon Maker,Mil
Tim Frazier,Was
Tim Hardaway Jr.,Nyk
Tim Quarterman,Hou
Timofey Mozgov,Bro
Timothe Luwawu-Cabarrot,Phi
TJ Leaf,Ind
TJ Warren,Pho
Tobias Harris,Det
Tobias Harris,Lac
Tomas Satoransky,Was
Tony Allen,Nor
Tony Bradley,Uta
Tony Parker,San
Tony Snell,Mil
Torrey Craig,Den
Travis Wear,Lal
Treveon Graham,Cha
Trevor Ariza,Hou
Trevor Booker,Bro
Trevor Booker,Phi
Trevor Booker,Ind
Trey Burke,Nyk
Trey Lyles,Den
Trey McKinney-Jones,Ind
Tristan Thompson,Cle
Troy Daniels,Pho
Troy Williams,Hou
Troy Williams,Nyk
Tyler Cavanaugh,Atl
Tyler Dorsey,Atl
Tyler Ennis,Lal
Tyler Johnson,Mia
Tyler Lydon,Den
Tyler Ulis,Pho
Tyler Zeller,Bro
Tyler Zeller,Mil
Tyreke Evans,Mem
Tyrone Wallace,Lac
Tyson Chandler,Pho
Tyus Jones,Min
Udonis Haslem,Mia
Vander Blue,Lal
Victor Oladipo,Ind
Vince Carter,Sac
Vincent Hunter,Mem
Wade Baldwin IV,Por
Walter Lemon Jr.,Nor
Wayne Ellington,Mia
Wayne Selden,Mem
Wes Iwundu,Orl
Wesley Johnson,Lac
Wesley Matthews,Dal
Will Barton,Den
Willie Cauley-Stein,Sac
Willie Reed,Lac
Willie Reed,Det
Willy Hernangomez,Nyk
Willy Hernangomez,Cha
Wilson Chandler,Den
Xavier Munford,Mil
Xavier Rathan-Mayes,Mem
Xavier Silas,Bos
Yogi Ferrell,Dal
Zach Collins,Por
Zach LaVine,Chi
Zach Randolph,Sac
Zaza Pachulia,Gol
Zhou Qi,Hou
